Metric,Type,Class,Train,Test,Difference
ACCURACY,Overall,All,0.9968487394957983,0.8747667910447762,0.12208194845102216
PRECISION,Overall,All,0.996940301479651,0.8686554192688235,0.12828488221082746
RECALL,Overall,All,0.9968487394957983,0.8747667910447762,0.12208194845102216
F1,Overall,All,0.9968704354535448,0.8482536063159398,0.148616829137605
F1_MACRO,Overall,All,0.9923768239279094,0.5723428184142271,0.4200340055136823
F1_MICRO,Overall,All,0.9968487394957983,0.8747667910447762,0.12208194845102216
PRECISION,Per-Class,No Object,0.9999215070643642,0.875438596491228,0.12448291057313621
RECALL,Per-Class,No Object,0.9964799749687109,0.993176002274666,0.003303972694044921
F1,Per-Class,No Object,0.9981977746434728,0.93059810843213,0.06759966621134283
PRECISION,Per-Class,Ball,0.988988988988989,0.9325153374233128,0.056473651565676186
RECALL,Per-Class,Ball,0.997979797979798,0.459214501510574,0.538765296469224
F1,Per-Class,Ball,0.9934640522875817,0.6153846153846154,0.3780794369029663
PRECISION,Per-Class,Bat,0.9608294930875576,0.6451612903225806,0.315668202764977
RECALL,Per-Class,Bat,0.9988023952095808,0.17094017094017094,0.8278622242694098
F1,Per-Class,Bat,0.9794480328831474,0.2702702702702703,0.7091777626128771
PRECISION,Per-Class,Stump,0.9968,0.9041095890410958,0.09269041095890418
RECALL,Per-Class,Stump,1.0,0.32038834951456313,0.6796116504854368
F1,Per-Class,Stump,0.9983974358974359,0.4731182795698925,0.5252791563275434
